Date/Time	Flow (cms)	Stream Temperature (*C)		Cloudiness (0 - 1)	Wind Speed (m/s)	Relative Humidity (0 - 1)	Air Temp (*C)	Stream Temp (*C)	Cloudiness (0 - 1)	Wind Speed (m/s)	Relative Humidity (0 - 1)	Air Temp (*C)	Stream Temp (*C)
7/7/01 0:00	3.00000	20.9		0.0	0.1	1.0	14.5	20.9	0.0	1.0	0.5	19.4	20.6
7/7/01 1:00	3.00000	20.7		0.0	0.1	1.0	14.3	20.7	0.0	1.3	0.4	20.6	20.2
7/7/01 2:00	3.00000	20.4		0.0	0.1	1.0	14.3	20.4	0.0	0.0	0.5	19.4	19.7
7/7/01 3:00	3.00000	20.2		0.0	0.1	1.0	14.1	20.2	0.0	1.0	0.5	16.7	19.2
7/7/01 4:00	3.00000	20.0		0.0	0.1	1.0	14.0	20.0	0.0	0.0	0.6	15.6	18.9
7/7/01 5:00	3.00000	19.9		0.0	0.1	1.0	14.0	19.9	0.0	0.0	0.7	13.9	18.4
7/7/01 6:00	3.00000	19.8		0.0	0.1	1.0	14.2	19.8	0.0	0.0	0.7	13.9	18.1
7/7/01 7:00	3.00000	19.8		0.0	0.1	1.0	14.2	19.8	0.0	0.0	0.7	13.9	17.8
7/7/01 8:00	3.00000	20.1		0.0	0.1	1.0	14.1	20.1	0.0	0.0	0.7	15.6	17.8
7/7/01 9:00	3.00000	20.1		0.0	0.1	1.0	13.9	20.1	0.0	0.0	0.6	17.8	18.1
7/7/01 10:00	3.00000	20.5		0.0	0.1	1.0	13.7	20.5	0.0	1.0	0.4	21.1	18.8
7/7/01 11:00	3.00000	20.9		0.0	0.1	1.0	13.5	20.9	0.0	1.0	0.4	23.3	19.4
7/7/01 12:00	3.00000	21.1		0.0	0.1	1.0	13.5	21.1	0.0	0.8	0.4	25.0	20.6
7/7/01 13:00	3.00000	21.4		0.0	0.1	1.0	13.4	21.4	0.0	0.0	0.3	27.2	21.8
7/7/01 14:00	3.00000	21.4		0.0	0.1	1.0	13.4	21.4	0.0	1.0	0.3	30.0	22.4
7/7/01 15:00	3.00000	21.6		0.0	0.1	1.0	13.3	21.6	0.0	1.5	0.2	32.8	23.1
7/7/01 16:00	3.00000	21.7		0.0	0.1	1.0	13.3	21.7	0.0	1.8	0.2	32.8	23.4
7/7/01 17:00	3.00000	21.7		0.0	0.1	1.0	13.0	21.7	0.0	3.6	0.2	33.9	23.6
7/7/01 18:00	3.00000	21.8		0.0	0.1	1.0	13.0	21.8	0.0	2.3	0.2	33.3	23.7
7/7/01 19:00	3.00000	21.7		0.0	0.1	1.0	13.1	21.7	0.0	2.6	0.3	32.2	23.6
7/7/01 20:00	3.00000	21.7		0.0	0.1	1.0	13.1	21.7	0.0	2.8	0.3	31.1	23.2
7/7/01 21:00	3.00000	21.6		0.0	0.1	1.0	13.0	21.6	0.0	1.8	0.3	28.3	22.9
7/7/01 22:00	3.00000	21.6		0.0	0.1	1.0	13.0	21.6	0.0	1.0	0.4	23.9	22.4
7/7/01 23:00	3.00000	21.5		0.0	0.1	1.0	12.9	21.5	0.0	1.0	0.5	23.3	21.9
7/8/01 0:00	3.00000	21.3		0.0	0.1	1.0	13.1	21.3	0.0	0.0	0.4	22.8	21.4
7/8/01 1:00	3.00000	21.1		0.0	0.1	1.0	13.0	21.1	0.0	1.0	0.5	20.6	20.8
7/8/01 2:00	3.00000	21.0		0.0	0.1	1.0	13.2	21.0	0.0	0.8	0.6	19.4	20.3
7/8/01 3:00	3.00000	20.8		0.0	0.1	1.0	13.3	20.8	0.0	0.0	0.6	18.9	19.9
7/8/01 4:00	3.00000	20.6		0.0	0.1	1.0	13.3	20.6	0.0	0.0	0.7	16.1	19.4
