Land Cover Name,Code,Height (m),Density (0-1),Overhang (m)
emergent,0,0,0,0
agriculture_h>2_d5_OH0,100,2.5,0.9,0
agriculture_h0-1_d5_OH0,101,0.5,0.9,0
agriculture_h0-5_d1_OH0,102,1,0.03,0
agriculture_h0-5_d2_OH0,103,4,0.2,0
agriculture_h0-5_d2_OH0-0.5,104,4,0.2,0.5
agriculture_h0-5_d3_OH0,105,4,0.5,0
agriculture_h0-5_d3_OH0-0.5,106,4,0.5,0.5
agriculture_h0-5_d4_OH0,107,4,0.7,0
agriculture_h0-5_d5_OH0,108,4,0.9,0
agriculture_h10-20_d1_OH0,109,15,0.03,0
agriculture_h10-20_d2_OH0,110,15,0.2,0
agriculture_h10-20_d2_OH0-0.5,111,15,0.2,0.5
agriculture_h10-20_d2_OH1-2.5,112,15,0.2,1.8
agriculture_h10-20_d3_OH0,113,15,0.5,0
agriculture_h10-20_d3_OH0-0.5,114,15,0.5,0.5
agriculture_h10-20_d3_OH1-2.5,115,15,0.5,1.8
agriculture_h10-20_d3_OH3-5,116,15,0.5,4
agriculture_h10-20_d3_OH6-8,117,15,0.5,7
agriculture_h10-20_d4_OH0,118,15,0.7,0
agriculture_h1-2_d5_OH0,119,1.5,0.9,0
agriculture_h20-30_d2_OH0,120,25,0.2,0
agriculture_h20-30_d3_OH0,121,25,0.5,0
agriculture_h30-40_d1_OH0,122,35,0.03,0
agriculture_h30-40_d2_OH0,123,35,0.2,0
agriculture_h5-10_d1_OH0,124,8,0.03,0
agriculture_h5-10_d2_OH0,125,8,0.2,0
agriculture_h5-10_d2_OH0-0.5,126,8,0.2,0.5
agriculture_h5-10_d3_OH0,127,8,0.5,0
agriculture_h5-10_d3_OH1-2.5,128,8,0.5,1.8
agriculture_h5-10_d3_OH3-5,129,8,0.5,4
agriculture_h5-10_d4_OH0,130,8,0.7,0
agriculture_h5-10_d4_OH0-0.5,131,8,0.7,0.5
agriculture_h5-10_d5_OH0,132,8,0.9,0
artificial cover_h1_d6_OH50,133,1,0.99,50
buildings_h0-5_d6_OH0,134,4,0.99,0
buildings_h10-20_d6_OH0,135,15,0.99,0
buildings_h5-10_d6_OH0,136,8,0.99,0
commercial forest_h0-5_d1_OH0,137,4,0.03,0
commercial forest_h0-5_d2_OH0,138,4,0.2,0
commercial forest_h0-5_d2_OH0-0.5,139,4,0.2,0.5
commercial forest_h0-5_d3_OH0,140,4,0.5,0
commercial forest_h0-5_d3_OH0-0.5,141,4,0.5,0.5
commercial forest_h0-5_d4_OH0,142,4,0.7,0
commercial forest_h0-5_d5_OH0,143,4,0.9,0
commercial forest_h0-5_d5_OH0-0.5,144,4,0.9,0.5
commercial forest_h10-20_d2_OH0,145,15,0.2,0
commercial forest_h10-20_d2_OH1-2.5,146,15,0.2,1.8
commercial forest_h10-20_d3_OH0,147,15,0.5,0
commercial forest_h10-20_d3_OH1-2.5,148,15,0.5,1.8
commercial forest_h10-20_d4_OH0,149,15,0.7,0
commercial forest_h10-20_d4_OH1-2.5,150,15,0.7,1.8
commercial forest_h10-20_d4_OH3-5,151,15,0.7,4
commercial forest_h10-20_d5_OH0,152,15,0.9,0
commercial forest_h10-20_d5_OH0-0.5,153,15,0.9,0.5
commercial forest_h10-20_d5_OH1-2.5,154,15,0.9,1.8
commercial forest_h10-20_d5_OH3-5,155,15,0.9,4
commercial forest_h20-30_d1_OH0,156,25,0.03,0
commercial forest_h20-30_d2_OH0-0.5,157,25,0.2,0.5
commercial forest_h20-30_d3_OH0,158,25,0.5,0
commercial forest_h20-30_d3_OH1-2.5,159,25,0.5,1.8
commercial forest_h20-30_d4_OH0,160,25,0.7,0
commercial forest_h20-30_d4_OH0-0.5,161,25,0.7,0.5
commercial forest_h20-30_d4_OH1-2.5,162,25,0.7,1.8
commercial forest_h20-30_d4_OH3-5,163,25,0.7,4
commercial forest_h20-30_d4_OH6-8,164,25,0.7,7
commercial forest_h20-30_d5_OH0,165,25,0.9,0
commercial forest_h20-30_d5_OH0-0.5,166,25,0.9,0.5
commercial forest_h20-30_d5_OH1-2.5,167,25,0.9,1.8
commercial forest_h20-30_d5_OH3-5,168,25,0.9,4
commercial forest_h30-40_d2_OH1-2.5,169,35,0.2,1.8
commercial forest_h30-40_d3_OH0,170,35,0.5,0
commercial forest_h30-40_d4_OH0,171,35,0.7,0
commercial forest_h30-40_d4_OH0-0.5,172,35,0.7,0.5
commercial forest_h30-40_d4_OH1-2.5,173,35,0.7,1.8
commercial forest_h30-40_d4_OH3-5,174,35,0.7,4
commercial forest_h30-40_d5_OH0,175,35,0.9,0
commercial forest_h30-40_d5_OH1-2.5,176,35,0.9,1.8
commercial forest_h30-40_d5_OH3-5,177,35,0.9,4
commercial forest_h5-10_d2_OH0,178,8,0.2,0
commercial forest_h5-10_d2_OH0-0.5,179,8,0.2,0.5
commercial forest_h5-10_d3_OH0-0.5,180,8,0.5,0.5
commercial forest_h5-10_d4_OH0,181,8,0.7,0
commercial forest_h5-10_d4_OH0-0.5,182,8,0.7,0.5
commercial forest_h5-10_d4_OH1-2.5,183,8,0.7,1.8
commercial forest_h5-10_d5_OH0,184,8,0.9,0
commercial forest_h5-10_d5_OH0-0.5,185,8,0.9,0.5
commercial forest_h5-10_d5_OH1-2.5,186,8,0.9,1.8
empty spaces artificial_h0_d0_OH0,187,0,0,0
empty spaces natural_h0_d0_OH0,188,0,0,0
