Wavelength [nm]	MV4_03 [%]	MV4_02 [%]	MV4_01 [%]	MV3_03 [%]	MV3_02 [%]	MV3_01 [%]	MV2_02 [%]	MV2_01 [%]	MV1_02 [%]	MV1_01 [%]
300	34.31449	39.75804	46.90783	29.36498	46.90783	36.0352	53.13874	50.28827	30.39261	31.20269
310	35.62737	41.56577	46.97621	29.0097	46.97621	35.69816	52.94548	50.18843	31.57451	32.44421
320	36.87325	43.26577	47.08646	28.69253	47.08646	35.34206	52.76837	50.11309	32.67798	33.59287
330	38.05214	44.85803	47.2386	28.41345	47.2386	34.96691	52.60739	50.06224	33.70302	34.64867
340	39.16403	46.34255	47.43262	28.17247	47.43262	34.5727	52.46256	50.0359	34.64963	35.61161
350	40.20893	47.71934	47.66853	27.96958	47.66853	34.15944	52.33386	50.03406	35.51781	36.48169
360	41.18683	48.9884	47.94632	27.8048	47.94632	33.72713	52.22131	50.05672	36.30755	37.25891
370	42.09774	50.14972	48.266	27.67811	48.266	33.27576	52.12489	50.10388	37.01886	37.94327
380	42.94165	51.20331	48.62756	27.58952	48.62756	32.80533	52.04462	50.17555	37.65174	38.53477
390	43.71857	52.14917	49.03101	27.53902	49.03101	32.31586	51.98049	50.27171	38.20619	39.03341
400	44.42849	52.98729	49.47634	27.52663	49.47634	31.80733	51.93249	50.39237	38.6822	39.43919
410	44.53527	53.11229	50.39072	27.67215	50.39072	31.26596	52.20015	50.88833	38.41587	39.09393
420	44.39949	53.10971	51.38649	27.90039	51.38649	30.80665	52.55578	51.46931	38.06567	38.62528
430	44.52077	53.14703	52.08698	27.98559	52.08698	30.11862	52.57687	51.74018	37.81179	38.19408
440	45.26787	53.53446	52.67535	28.05234	52.67535	29.32302	52.47321	51.8804	37.94243	38.07489
450	46.22184	54.4243	53.18125	28.12855	53.18125	28.48199	52.29501	51.92346	38.60995	38.44701
460	47.13211	55.41886	53.59579	28.21496	53.59579	27.55491	52.03358	51.86828	39.51581	39.32237
470	47.77912	56.03173	53.93043	28.34879	53.93043	26.74509	51.76694	51.75761	39.97108	39.73123
480	48.16746	56.30017	54.11458	28.58942	54.11458	26.08832	51.44067	51.54271	40.09798	39.80298
490	48.77811	56.88398	54.67854	28.96379	54.67854	25.94565	51.68461	51.80603	40.48681	40.1889
500	49.38799	57.49286	55.22146	29.34401	55.22146	26.15691	51.94057	52.0883	40.89783	40.59103
510	50.00578	58.10127	55.79099	29.7341	55.79099	26.53489	52.19687	52.3514	41.29944	40.96748
520	50.60185	58.67311	56.31744	30.10391	56.31744	26.87325	52.41207	52.58468	41.68433	41.33595
530	51.1401	59.19838	56.78776	30.44756	56.78776	27.02475	52.56939	52.78057	42.04497	41.68079
540	51.65849	59.70085	57.23114	30.76456	57.23114	27.20778	52.81536	52.96622	42.39135	42.00524
550	52.17673	60.20892	57.685	31.05982	57.685	27.37967	53.0204	53.15919	42.72683	42.31316
560	52.70911	60.73553	58.18612	31.37503	58.18612	27.86483	53.32225	53.43312	43.08367	42.63756
570	53.17573	61.1932	58.61358	31.60505	58.61358	28.19431	53.50805	53.59736	43.38784	42.89939
