	MV1_02_Oberseite TIS	MV2_01_Oberseite TIS	MV2_02_Oberseite TIS	MV3_01_Oberseite TIS	MV3_03_Oberseite TIS	MV4_01_Oberseite TIS	MV4_03_Oberseite TIS
300	32.9	57.7	55.1	38.4	24.7	42.0	32.1
305	32.8	57.4	54.9	38.2	24.5	42.9	31.9
310	32.4	56.7	54.2	37.7	24.2	43.6	31.5
315	32.2	56.3	53.8	37.5	24.1	44.6	31.3
320	32.0	56.0	53.5	37.3	23.9	45.7	31.1
325	31.9	55.8	53.3	37.1	23.8	46.6	31.0
330	31.8	55.6	53.1	37.0	23.8	47.1	30.9
335	31.7	55.5	53.0	36.7	23.7	47.4	30.8
340	31.9	55.9	53.4	36.8	23.9	47.8	31.1
345	32.2	56.3	53.8	36.9	24.0	48.3	31.3
350	32.4	56.6	54.0	37.1	24.1	48.7	31.4
355	32.5	56.6	54.0	37.1	24.1	49.3	31.4
360	32.6	56.7	54.1	37.2	24.1	49.8	31.4
365	32.7	56.8	54.1	37.3	24.1	50.3	31.4
370	32.8	56.9	54.2	37.4	24.1	50.8	31.5
375	33.0	57.1	54.3	37.6	24.2	51.2	31.5
380	33.2	57.2	54.5	37.8	24.2	51.6	31.6
385	33.4	57.4	54.6	38.0	24.3	52.0	31.7
390	33.6	57.6	54.7	38.2	24.3	52.3	31.9
395	33.9	57.9	55.0	38.5	24.4	52.6	32.1
400	34.1	58.1	55.2	38.8	24.6	52.9	32.3
405	34.4	58.4	55.4	39.1	24.7	53.2	32.4
410	34.6	58.6	55.5	39.4	24.7	53.6	32.6
415	34.9	58.8	55.5	39.8	24.8	53.9	32.7
420	35.2	59.0	55.5	40.1	24.9	54.3	32.9
425	35.5	59.2	55.5	40.5	25.0	54.6	33.0
430	35.6	59.2	55.3	40.8	25.0	54.9	33.0
435	35.8	59.2	55.3	41.2	25.0	55.2	33.1
440	36.0	59.2	55.3	41.5	25.1	55.5	33.2
445	36.2	59.3	55.4	41.8	25.2	55.7	33.3
450	36.3	59.3	55.4	42.1	25.3	56.0	33.5
455	36.5	59.4	55.3	42.4	25.4	56.3	33.6
460	36.7	59.4	55.3	42.7	25.5	56.5	33.8
465	36.9	59.5	55.2	43.0	25.6	56.8	34.0
470	37.1	59.5	55.2	43.3	25.7	57.0	34.1
475	37.3	59.6	55.1	43.6	25.8	57.3	34.3
480	37.5	59.7	55.1	43.9	26.0	57.6	34.5
485	37.7	59.7	55.0	44.2	26.1	57.8	34.7
490	37.9	59.8	55.0	44.5	26.3	58.1	34.9
495	38.0	59.8	55.0	44.8	26.4	58.3	35.1
500	38.2	59.9	54.8	45.1	26.5	58.5	35.3
505	38.4	59.9	54.8	45.3	26.6	58.8	35.4
