		Putz	90degreen	Gruenwand	Efeu	Optigruen														
24.10.2011	13:00:00	1.445873548	2.393873601	2.454337526	2.352114418	0														
24.10.2011	13:10:00	1.420054378	2.393873601	2.483555829	2.374730903	0														
24.10.2011	13:20:00	1.304547562	2.393873601	2.460488747	2.095000696	0														
24.10.2011	13:30:00	1.215019789	2.393873601	2.474962211	2.022179816	0														
24.10.2011	13:40:00	1.377022427	2.393873601	2.597182567	2.010354203	0														
24.10.2011	13:50:00	1.239320184	2.393873601	2.33746431	2.17118254	0														
24.10.2011	14:00:00	0.826213456	2.393873601	2.33746431	1.447455026	0														
24.10.2011	14:10:00	0.885228703	2.393873601	2.33746431	1.550844671	0														
24.10.2011	14:20:00	1.03276682	2.792852534	2.727041695	1.507765652	0														
24.10.2011	14:30:00	0.826213456	2.393873601	2.33746431	1.447455026	0														
24.10.2011	14:40:00	1.377022427	2.393873601	2.33746431	1.809318783	0														
24.10.2011	14:50:00	2.06553364	2.393873601	2.33746431	2.713978174	0														
24.10.2011	15:00:00	2.06553364	2.393873601	2.33746431	2.713978174	0														
25.10.2011	13:00:00	1.239320184	2.872648321	2.804957172	2.17118254	0														
25.10.2011	13:10:00	1.180304937	2.393873601	2.33746431	2.067792895	0														
25.10.2011	13:20:00	1.03276682	2.393873601	2.33746431	2.110871913	0														
25.10.2011	13:30:00	1.03276682	2.393873601	2.33746431	2.261648479	0														
25.10.2011	13:40:00	1.54915023	2.992342001	2.921830388	2.261648479	0														
25.10.2011	13:50:00	1.03276682	2.393873601	2.33746431	2.261648479	0														
25.10.2011	14:00:00	1.239320184	2.393873601	2.33746431	2.17118254	0														
25.10.2011	14:10:00	1.239320184	2.393873601	2.804957172	2.17118254	0														
25.10.2011	14:20:00	1.03276682	2.393873601	2.33746431	1.809318783	0														
25.10.2011	14:30:00	1.239320184	2.393873601	2.33746431	2.17118254	0														
25.10.2011	14:40:00	1.03276682	2.393873601	2.33746431	1.809318783	0														
25.10.2011	14:50:00	1.03276682	2.393873601	2.33746431	2.261648479	0														
25.10.2011	15:00:00	1.54915023	2.393873601	2.921830388	2.261648479	0														
26.10.2011	13:00:00	1.377022427	2.393873601	2.532253003	2.261648479	0														
26.10.2011	13:10:00	1.429984828	2.393873601	2.33746431	2.505210623	0														
26.10.2011	13:20:00	1.458023746	2.534689695	2.474962211	2.341471366	0														
26.10.2011	13:30:00	1.262270558	2.393873601	2.467323438	2.110871913	0														
