	MV1_02_Oberseite DIFF	MV2_01_Oberseite DIFF	MV2_02_Oberseite DIFF	MV3_01_Oberseite DIFF	MV3_03_Oberseite DIFF	MV4_01_Oberseite DIFF	MV4_03_Oberseite DIFF
2500	26.0	32.6	26.7	31.5	20.0	34.3	23.3
2495	29.5	35.5	30.8	37.8	22.6	36.6	22.2
2490	30.0	34.9	30.3	37.7	22.2	37.5	21.4
2485	30.8	35.2	31.5	39.0	23.2	38.5	21.6
2480	31.8	36.1	32.4	40.0	23.7	39.1	22.6
2475	32.6	37.5	33.4	41.2	24.4	40.0	23.7
2470	32.9	37.8	33.7	41.8	24.7	40.1	23.8
2465	33.0	38.1	33.9	42.2	24.7	40.7	24.0
2460	33.2	38.3	34.2	42.5	24.9	41.2	24.3
2455	33.5	38.8	34.5	42.9	25.2	41.6	24.6
2450	33.5	39.1	34.7	43.2	25.2	41.8	24.9
2445	34.0	39.6	35.3	44.0	25.6	42.4	25.1
2440	34.2	39.7	35.4	44.2	25.8	42.7	25.6
2435	34.5	40.0	35.7	44.4	25.9	43.1	25.6
2430	34.7	40.4	36.1	44.8	26.3	43.4	26.2
2425	35.0	40.9	36.5	45.3	26.5	43.9	26.4
2420	35.1	41.3	36.7	45.7	26.6	44.2	26.8
2415	35.3	41.7	37.0	45.9	26.6	44.5	27.0
2410	35.2	41.8	37.3	46.2	26.8	44.9	27.1
2405	35.3	42.1	37.2	46.2	26.8	45.1	27.1
2400	35.2	41.9	37.3	46.3	26.8	45.2	27.2
2395	35.2	41.9	37.2	46.1	26.7	45.4	27.2
2390	35.1	41.9	37.3	46.2	26.7	45.6	27.2
2385	35.3	42.1	37.5	46.3	26.8	46.1	27.6
2380	35.5	42.5	37.7	46.5	27.1	46.4	27.7
2375	35.6	42.6	38.0	46.6	27.2	46.5	27.9
2370	35.6	42.8	38.2	46.7	27.2	46.8	28.1
2365	35.7	43.0	38.3	46.9	27.2	47.0	28.2
2360	35.7	43.0	38.4	47.0	27.2	47.2	28.3
2355	35.7	43.0	38.6	47.0	27.3	47.3	28.4
2350	35.8	43.0	38.7	47.1	27.4	47.5	28.5
2345	35.9	43.3	38.8	47.3	27.5	47.8	28.7
2340	36.0	43.4	39.0	47.2	27.6	48.0	28.8
2335	36.0	43.5	39.1	47.4	27.6	48.2	29.0
2330	36.0	43.7	39.2	47.5	27.7	48.4	29.2
2325	36.1	43.8	39.3	47.6	27.8	48.7	29.3
2320	36.1	43.9	39.3	47.7	27.8	48.7	29.4
2315	36.1	43.8	39.4	47.7	27.9	48.8	29.3
