datetime,BV,GS,LS,LT,LF
2012-05-22 16:00:00,16.58,0.978,85.40874,,
2012-05-22 17:00:00,15.79,0.981,85.67073,,
2012-05-22 18:00:00,15.25,0.981,85.67073,,
2012-05-22 19:00:00,14.7,0.999,87.24267,,
2012-05-22 20:00:00,14.94,0.996,86.98068,,
2012-05-22 21:00:00,14.24,1,87.33,,
2012-05-22 22:00:00,13.78,1,87.33,,
2012-05-22 23:00:00,14.23,1,87.33,,
2012-05-23 00:00:00,13.52,1,87.33,,
2012-05-23 01:00:00,14.14,1,87.33,,
2012-05-23 02:00:00,13.86,1,87.33,,
2012-05-23 03:00:00,13.39,1,87.33,,
2012-05-23 04:00:00,13.12,1,87.33,,
2012-05-23 05:00:00,11.96,1,87.33,,
2012-05-23 06:00:00,14.24,1,87.33,,
2012-05-23 07:00:00,15.85,0.997,87.06801,,
2012-05-23 08:00:00,19.08,0.867,75.71511,,
2012-05-23 09:00:00,18.26,0.829,72.39657,,
2012-05-23 10:00:00,17.4,0.915,79.90695,,
2012-05-23 11:00:00,22.72,0.6362,55.559346,,
2012-05-23 12:00:00,24.18,0.5465,47.725845,,
2012-05-23 13:00:00,24.91,0.4933,43.079889,,
2012-05-23 14:00:00,25.91,0.4553,39.761349,,
2012-05-23 15:00:00,18.92,0.735,64.18755,,
2012-05-23 16:00:00,19.28,0.6834,59.681322,,
2012-05-23 17:00:00,21.18,0.6177,53.943741,,
2012-05-23 18:00:00,22.4,0.57,49.7781,,
2012-05-23 19:00:00,17.39,0.825,72.04725,,
2012-05-23 20:00:00,16.76,0.89,77.7237,,
2012-05-23 21:00:00,17.07,0.816,71.26128,,
2012-05-23 22:00:00,16.52,0.823,71.87259,,
2012-05-23 23:00:00,16.6,0.801,69.95133,,
2012-05-24 00:00:00,15.5,0.868,75.80244,,
2012-05-24 01:00:00,14.43,0.914,79.81962,,
2012-05-24 02:00:00,13.87,0.935,81.65355,,
2012-05-24 03:00:00,13.29,0.935,81.65355,,
2012-05-24 04:00:00,11.75,1,87.33,,
2012-05-24 05:00:00,12.12,0.975,85.14675,,
2012-05-24 06:00:00,17.77,0.726,63.40158,,
2012-05-24 07:00:00,20.78,0.5873,51.288909,,
2012-05-24 08:00:00,21.58,0.5901,51.533433,,
2012-05-24 09:00:00,22.15,0.6113,53.384829,,
2012-05-24 10:00:00,22.64,0.6173,53.908809,,
2012-05-24 11:00:00,23.7,0.5298,46.267434,,
2012-05-24 12:00:00,20.61,0.6781,59.218473,,
2012-05-24 13:00:00,20.36,0.6712,58.615896,,
2012-05-24 14:00:00,22.34,0.6696,58.476168,,
2012-05-24 15:00:00,20.94,0.6167,53.856411,,
2012-05-24 16:00:00,19.73,0.6691,58.432503,,
2012-05-24 17:00:00,22.64,0.5395,47.114535,,
2012-05-24 18:00:00,22.51,0.4139,36.145887,,
2012-05-24 19:00:00,20.86,0.4187,36.565071,,
2012-05-24 20:00:00,17.35,0.5371,46.904943,,
2012-05-24 21:00:00,13.89,0.6661,58.170513,,
2012-05-24 22:00:00,15.75,0.5603,48.930999,,
2012-05-24 23:00:00,16.9,0.488,42.61704,,
2012-05-25 00:00:00,16.42,0.4784,41.778672,,
2012-05-25 01:00:00,15.39,0.4986,43.542738,,
2012-05-25 02:00:00,15.09,0.509,44.45097,,
2012-05-25 03:00:00,13.83,0.5517,48.179961,,
2012-05-25 04:00:00,13.72,0.5537,48.354621,,
2012-05-25 05:00:00,11.85,0.6799,59.375667,,
2012-05-25 06:00:00,15.2,0.5797,50.625201,,
2012-05-25 07:00:00,16.25,0.5447,47.568651,,
2012-05-25 08:00:00,17.14,0.5534,48.328422,,
2012-05-25 09:00:00,18.25,0.549,47.94417,,
2012-05-25 10:00:00,17.88,0.531,46.37223,,
2012-05-25 11:00:00,19.76,0.4446,38.826918,,
2012-05-25 12:00:00,19.83,0.464,40.52112,,
2012-05-25 13:00:00,20.21,0.4406,38.477598,,
2012-05-25 14:00:00,21.06,0.408,35.63064,,
2012-05-25 15:00:00,21.19,0.361,31.52613,,
2012-05-25 16:00:00,20.98,0.3316,28.958628,,
2012-05-25 17:00:00,20.44,0.3487,30.451971,,
2012-05-25 18:00:00,19.83,0.3477,30.364641,,
2012-05-25 19:00:00,17.99,0.3973,34.696209,,
2012-05-25 20:00:00,13.61,0.5906,51.577098,,
2012-05-25 21:00:00,9.29,0.874,76.32642,,
2012-05-25 22:00:00,7.76,0.965,84.27345,,
2012-05-25 23:00:00,6.733,0.993,86.71869,,
2012-05-26 00:00:00,5.728,0.999,87.24267,,
2012-05-26 01:00:00,5.179,0.999,87.24267,,
2012-05-26 02:00:00,5.158,0.999,87.24267,,
2012-05-26 03:00:00,7.38,0.882,77.02506,,
2012-05-26 04:00:00,8.99,0.827,72.22191,,
2012-05-26 05:00:00,9.56,0.812,70.91196,,
2012-05-26 06:00:00,10.54,0.79,68.9907,,
2012-05-26 07:00:00,12.69,0.784,68.46672,,
2012-05-26 08:00:00,15.57,0.5532,48.310956,,
2012-05-26 09:00:00,17.59,0.4289,37.455837,,
2012-05-26 10:00:00,16.26,0.471,41.13243,,
2012-05-26 11:00:00,18.7,0.4102,35.822766,,
2012-05-26 12:00:00,19.27,0.4327,37.787691,,
2012-05-26 13:00:00,20.25,0.3831,33.456123,,
2012-05-26 14:00:00,20.66,0.3711,32.408163,,
2012-05-26 15:00:00,20.22,0.3535,30.871155,,
2012-05-26 16:00:00,20.31,0.3378,29.500074,,
2012-05-26 17:00:00,19.04,0.3782,33.028206,,
2012-05-26 18:00:00,20.19,0.3452,30.146316,,
2012-05-26 19:00:00,16.83,0.4957,43.289481,,
2012-05-26 20:00:00,10.9,0.831,72.57123,,
2012-05-26 21:00:00,8.83,0.947,82.70151,,
2012-05-26 22:00:00,8.02,0.976,85.23408,,
2012-05-26 23:00:00,7.55,0.982,85.75806,,
2012-05-27 00:00:00,6.615,0.999,87.24267,,
2012-05-27 01:00:00,5.521,0.999,87.24267,,
2012-05-27 02:00:00,4.319,0.999,87.24267,,
2012-05-27 03:00:00,3.879,1,87.33,,
2012-05-27 04:00:00,3.895,1,87.33,,
2012-05-27 05:00:00,3.795,1,87.33,,
2012-05-27 06:00:00,9.04,1,87.33,,
2012-05-27 07:00:00,14.89,0.6118,53.428494,,
2012-05-27 08:00:00,16.34,0.5105,44.581965,,
2012-05-27 09:00:00,17.89,0.4759,41.560347,,
2012-05-27 10:00:00,19.07,0.446,38.94918,,
2012-05-27 11:00:00,19.51,0.4299,37.543167,,
2012-05-27 12:00:00,20.36,0.3985,34.801005,,
2012-05-27 13:00:00,21.42,0.3817,33.333861,,
2012-05-27 14:00:00,20.67,0.3361,29.351613,,
2012-05-27 15:00:00,21.71,0.3024,26.408592,,
2012-05-27 16:00:00,21.68,0.3143,27.447819,,
2012-05-27 17:00:00,20.5,0.3248,28.364784,,
2012-05-27 18:00:00,18.64,0.3962,34.600146,,
2012-05-27 19:00:00,13.09,0.741,64.71153,,
2012-05-27 20:00:00,9.99,0.915,79.90695,,
2012-05-27 21:00:00,7.56,0.99,86.4567,,
2012-05-27 22:00:00,6.806,0.999,87.24267,,
2012-05-27 23:00:00,6.192,0.999,87.24267,,
2012-05-28 00:00:00,4.784,0.999,87.24267,,
2012-05-28 01:00:00,3.908,0.999,87.24267,,
2012-05-28 02:00:00,3.53,1,87.33,,
2012-05-28 03:00:00,3.346,1,87.33,,
2012-05-28 04:00:00,2.747,1,87.33,,
2012-05-28 05:00:00,3.238,1,87.33,,
2012-05-28 06:00:00,8.34,1,87.33,,
2012-05-28 07:00:00,11.72,0.856,74.75448,,
2012-05-28 08:00:00,14.83,0.6955,60.738015,,
2012-05-28 09:00:00,17.48,0.5986,52.275738,,
2012-05-28 10:00:00,18.3,0.6509,56.843097,,
2012-05-28 11:00:00,20.98,0.4997,43.638801,,
2012-05-28 12:00:00,22.53,0.346,30.21618,,
2012-05-28 13:00:00,21.92,0.3685,32.181105,,
2012-05-28 14:00:00,21.58,0.4016,35.071728,,
2012-05-28 15:00:00,15.09,0.818,71.43594,,
2012-05-28 16:00:00,18.06,0.6389,55.795137,,
2012-05-28 17:00:00,13.94,0.807,70.47531,,
2012-05-28 18:00:00,14.27,0.872,76.15176,,
