MAYR WT9;01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;00:00
7;13,36;13,24;13,13;13,01;12,94;12,89;12,91;13,01;13,26;13,72;14,18;14,97;15,34;15,57;15,54;15,40;15,08;14,80;14,58;14,32;14,09;13,88;13,67;13,52
8;12,83;12,64;12,50;12,35;12,24;12,16;12,17;12,28;12,51;12,96;13,51;14,30;15,21;15,51;15,55;15,23;14,77;14,44;14,17;13,90;13,66;13,42;13,20;13,01
9;11,14;10,97;10,83;10,68;10,56;10,47;10,43;10,49;10,69;11,04;11,56;12,19;12,72;13,16;13,15;12,94;12,67;12,44;12,22;12,01;11,81;11,62;11,43;11,31
10;8,23;8,10;7,98;7,87;7,76;7,68;7,60;7,60;7,66;7,87;8,18;8,67;9,08;9,43;9,30;9,32;9,20;9,07;8,96;8,82;8,67;8,49;8,34;8,38
11;6,29;6,24;6,20;6,17;6,15;6,12;6,07;6,05;6,11;6,23;6,45;6,73;6,96;7,09;7,11;7,07;7,00;6,91;6,83;6,70;6,59;6,50;6,40;6,35
12;2,33;2,27;2,23;2,20;2,15;1,97;2,05;2,03;2,06;2,14;2,27;2,42;2,62;2,69;2,70;2,65;2,61;2,57;2,53;2,47;2,44;2,38;2,34;2,38
1;1,64;1,57;1,51;1,46;1,43;1,31;1,38;1,43;1,50;1,69;1,82;2,01;2,20;2,26;2,26;2,19;2,13;2,07;2,03;2,02;1,97;1,88;1,81;1,71
2;1,36;1,30;1,25;1,16;1,08;0,83;0,95;1,01;1,17;1,40;1,68;1,89;2,19;2,33;2,32;2,21;2,04;1,93;1,82;1,74;1,64;1,55;1,48;1,41
RO;01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;00:00
8;14,77;14,55;14,35;14,17;14,02;13,91;13,88;13,99;14,25;15,45;16,24;16,84;17,34;17,02;17,10;16,85;16,48;16,33;16,16;15,93;15,70;15,45;15,19;15,02
9;12,35;12,18;11,99;11,84;11,69;11,57;11,51;11,61;11,86;12,71;13,33;13,81;14,19;14,26;14,14;13,89;13,79;13,65;13,49;13,30;13,10;12,89;12,70;12,56
10;9,14;8,99;8,85;8,73;8,60;8,47;8,37;8,38;8,49;9,03;9,27;9,79;9,98;10,08;10,04;10,02;9,98;9,91;9,80;9,68;9,55;9,40;9,24;9,29
11;6,71;6,64;6,58;6,52;6,47;6,41;6,40;6,34;6,38;6,52;6,71;6,94;7,11;7,25;7,33;7,39;7,35;7,31;7,24;7,14;7,05;6,96;6,86;6,78
12;2,35;2,28;2,22;2,17;2,11;2,08;2,05;2,02;2,04;2,12;2,24;2,44;2,60;2,66;2,70;2,69;2,67;2,65;2,62;2,58;2,53;2,47;2,38;2,43
1;1,94;1,88;1,81;1,76;1,73;1,68;1,63;1,63;1,65;1,75;1,85;2,03;2,21;2,29;2,36;2,36;2,32;2,29;2,25;2,20;2,17;2,11;2,07;1,98
2;1,46;1,43;1,37;1,34;1,31;1,28;1,25;1,23;1,31;1,45;1,64;1,85;2,06;2,25;2,32;2,28;2,20;2,13;2,04;1,93;1,83;1,71;1,61;1,53
NS WT12;01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;00:00
7;14,98;14,77;14,60;14,45;14,29;14,20;14,18;14,27;14,46;14,82;15,44;15,99;16,50;16,89;17,26;17,30;17,18;16,90;16,53;16,25;15,99;15,70;15,42;15,20
